DATASET,REGION,YEAR,VALUE,LANDUSE,SIMPLE GROUP,AREA sq m,AREA sq km,POPULATION,FLOODCOUNT,FLOW cms
ConusBackcasting,Piedmont,1945,14,Hay Pasture,Hay Pasture,2077099381,2077.099381,1240304,3,558497.59
ConusBackcasting,Piedmont,1945,2,Developed,Developed,206973422.3,206.9734223,1240304,3,558497.59
ConusBackcasting,Piedmont,1945,9,Evergreen Forest,Forest,1125246338,1125.246338,1240304,3,558497.59
ConusBackcasting,Piedmont,1945,8,Deciduous Forest,Forest,4363356765,4363.356765,1240304,3,558497.59
ConusBackcasting,Piedmont,1945,10,Mixed Forest,Forest,1787236723,1787.236723,1240304,3,558497.59
ConusBackcasting,Piedmont,1945,16,Woody Wetland,Wetland,275069925.2,275.0699252,1240304,3,558497.59
ConusBackcasting,Piedmont,1945,1,Open Water,Water,79393906.26,79.39390626,1240304,3,558497.59
ConusBackcasting,Piedmont,1945,15,Herbaceous Wetland,Wetland,38635871.05,38.63587105,1240304,3,558497.59
ConusBackcasting,Piedmont,1945,6,Mining,Developed,1560414.824,1.560414824,1240304,3,558497.59
ConusBackcasting,Piedmont,1945,11,Grassland,Hay Pasture,124833.1859,0.124833186,1240304,3,558497.59
ConusBackcasting,Piedmont,1945,12,Shrubland,Hay Pasture,62416.59297,0.062416593,1240304,3,558497.59
ConusBackcasting,Piedmont,1946,13,Cultivated Cropland,Cropland,1962502516,1962.502516,1269107,2,575833.11
ConusBackcasting,Piedmont,1946,14,Hay Pasture,Hay Pasture,2079720878,2079.720878,1269107,2,575833.11
ConusBackcasting,Piedmont,1946,2,Developed,Developed,213215081.6,213.2150816,1269107,2,575833.11
ConusBackcasting,Piedmont,1946,9,Evergreen Forest,Forest,1124122839,1124.122839,1269107,2,575833.11
ConusBackcasting,Piedmont,1946,8,Deciduous Forest,Forest,4364605097,4364.605097,1269107,2,575833.11
ConusBackcasting,Piedmont,1946,10,Mixed Forest,Forest,1787736056,1787.736056,1269107,2,575833.11
ConusBackcasting,Piedmont,1946,16,Woody Wetland,Wetland,267267851.1,267.2678511,1269107,2,575833.11
ConusBackcasting,Piedmont,1946,1,Open Water,Water,84886566.44,84.88656644,1269107,2,575833.11
ConusBackcasting,Piedmont,1946,15,Herbaceous Wetland,Wetland,38448621.27,38.44862127,1269107,2,575833.11
ConusBackcasting,Piedmont,1946,6,Mining,Developed,1560414.824,1.560414824,1269107,2,575833.11
ConusBackcasting,Piedmont,1946,11,Grassland,Hay Pasture,124833.1859,0.124833186,1269107,2,575833.11
ConusBackcasting,Piedmont,1946,12,Shrubland,Hay Pasture,62416.59297,0.062416593,1269107,2,575833.11
ConusBackcasting,Piedmont,1947,13,Cultivated Cropland,Cropland,1957446772,1957.446772,1297911,2,514652.56
ConusBackcasting,Piedmont,1947,14,Hay Pasture,Hay Pasture,2080532294,2080.532294,1297911,2,514652.56
ConusBackcasting,Piedmont,1947,2,Developed,Developed,218645325.2,218.6453252,1297911,2,514652.56
ConusBackcasting,Piedmont,1947,9,Evergreen Forest,Forest,1123186591,1123.186591,1297911,2,514652.56
ConusBackcasting,Piedmont,1947,8,Deciduous Forest,Forest,4365978262,4365.978262,1297911,2,514652.56
ConusBackcasting,Piedmont,1947,10,Mixed Forest,Forest,1788297805,1788.297805,1297911,2,514652.56
ConusBackcasting,Piedmont,1947,16,Woody Wetland,Wetland,260214776.1,260.2147761,1297911,2,514652.56
ConusBackcasting,Piedmont,1947,1,Open Water,Water,89692644.1,89.6926441,1297911,2,514652.56
ConusBackcasting,Piedmont,1947,15,Herbaceous Wetland,Wetland,38386204.68,38.38620468,1297911,2,514652.56
ConusBackcasting,Piedmont,1947,6,Mining,Developed,1685248.01,1.68524801,1297911,2,514652.56
ConusBackcasting,Piedmont,1947,11,Grassland,Hay Pasture,124833.1859,0.124833186,1297911,2,514652.56
ConusBackcasting,Piedmont,1947,12,Shrubland,Hay Pasture,62416.59297,0.062416593,1297911,2,514652.56
ConusBackcasting,Piedmont,1948,13,Cultivated Cropland,Cropland,1952016529,1952.016529,1326714,12,1055424.1
ConusBackcasting,Piedmont,1948,14,Hay Pasture,Hay Pasture,2082279958,2082.279958,1326714,12,1055424.1
ConusBackcasting,Piedmont,1948,2,Developed,Developed,224762151.3,224.7621513,1326714,12,1055424.1
ConusBackcasting,Piedmont,1948,9,Evergreen Forest,Forest,1122562425,1122.562425,1326714,12,1055424.1
ConusBackcasting,Piedmont,1948,8,Deciduous Forest,Forest,4366976927,4366.976927,1326714,12,1055424.1
ConusBackcasting,Piedmont,1948,10,Mixed Forest,Forest,1788921971,1788.921971,1326714,12,1055424.1
ConusBackcasting,Piedmont,1948,16,Woody Wetland,Wetland,251850952.7,251.8509527,1326714,12,1055424.1
ConusBackcasting,Piedmont,1948,1,Open Water,Water,94561138.36,94.56113836,1326714,12,1055424.1
ConusBackcasting,Piedmont,1948,15,Herbaceous Wetland,Wetland,38323788.09,38.32378809,1326714,12,1055424.1
ConusBackcasting,Piedmont,1948,6,Mining,Developed,1810081.196,1.810081196,1326714,12,1055424.1
ConusBackcasting,Piedmont,1948,11,Grassland,Hay Pasture,124833.1859,0.124833186,1326714,12,1055424.1
ConusBackcasting,Piedmont,1948,12,Shrubland,Hay Pasture,62416.59297,0.062416593,1326714,12,1055424.1
ConusBackcasting,Piedmont,1950,13,Cultivated Cropland,Cropland,1941842624,1941.842624,1384321,10,698618.43
ConusBackcasting,Piedmont,1950,14,Hay Pasture,Hay Pasture,2084839039,2084.839039,1384321,10,698618.43
ConusBackcasting,Piedmont,1950,2,Developed,Developed,234499139.8,234.4991398,1384321,10,698618.43
ConusBackcasting,Piedmont,1950,9,Evergreen Forest,Forest,1121438926,1121.438926,1384321,10,698618.43
ConusBackcasting,Piedmont,1950,8,Deciduous Forest,Forest,4370222590,4370.22259,1384321,10,698618.43
ConusBackcasting,Piedmont,1950,10,Mixed Forest,Forest,1790107886,1790.107886,1384321,10,698618.43
ConusBackcasting,Piedmont,1950,16,Woody Wetland,Wetland,237744802.6,237.7448026,1384321,10,698618.43
ConusBackcasting,Piedmont,1950,1,Open Water,Water,103486711.2,103.4867112,1384321,10,698618.43
ConusBackcasting,Piedmont,1950,15,Herbaceous Wetland,Wetland,37949288.53,37.94928853,1384321,10,698618.43
ConusBackcasting,Piedmont,1950,6,Mining,Developed,1934914.382,1.934914382,1384321,10,698618.43
ConusBackcasting,Piedmont,1950,11,Grassland,Hay Pasture,124833.1859,0.124833186,1384321,10,698618.43
ConusBackcasting,Piedmont,1950,12,Shrubland,Hay Pasture,62416.59297,0.062416593,1384321,10,698618.43
ConusBackcasting,Piedmont,1951,13,Cultivated Cropland,Cropland,1853460728,1853.460728,1425656,3,704945.4
ConusBackcasting,Piedmont,1951,14,Hay Pasture,Hay Pasture,2073541635,2073.541635,1425656,3,704945.4
ConusBackcasting,Piedmont,1951,2,Developed,Developed,242675713.5,242.6757135,1425656,3,704945.4
ConusBackcasting,Piedmont,1951,9,Evergreen Forest,Forest,1130239666,1130.239666,1425656,3,704945.4
ConusBackcasting,Piedmont,1951,8,Deciduous Forest,Forest,4428020355,4428.020355,1425656,3,704945.4
ConusBackcasting,Piedmont,1951,10,Mixed Forest,Forest,1816822188,1816.822188,1425656,3,704945.4
ConusBackcasting,Piedmont,1951,16,Woody Wetland,Wetland,233313224.5,233.3132245,1425656,3,704945.4
ConusBackcasting,Piedmont,1951,1,Open Water,Water,105920958.3,105.9209583,1425656,3,704945.4
ConusBackcasting,Piedmont,1951,15,Herbaceous Wetland,Wetland,37886871.94,37.88687194,1425656,3,704945.4
ConusBackcasting,Piedmont,1951,6,Mining,Developed,2184580.754,2.184580754,1425656,3,704945.4
ConusBackcasting,Piedmont,1951,11,Grassland,Hay Pasture,124833.1859,0.124833186,1425656,3,704945.4
ConusBackcasting,Piedmont,1951,12,Shrubland,Hay Pasture,62416.59297,0.062416593,1425656,3,704945.4
ConusBackcasting,Piedmont,1952,13,Cultivated Cropland,Cropland,1759898255,1759.898255,1466990,4,823535.69
ConusBackcasting,Piedmont,1952,14,Hay Pasture,Hay Pasture,2061932149,2061.932149,1466990,4,823535.69
ConusBackcasting,Piedmont,1952,2,Developed,Developed,251414036.5,251.4140365,1466990,4,823535.69
ConusBackcasting,Piedmont,1952,9,Evergreen Forest,Forest,1137167907,1137.167907,1466990,4,823535.69
ConusBackcasting,Piedmont,1952,8,Deciduous Forest,Forest,4493994694,4493.994694,1466990,4,823535.69
ConusBackcasting,Piedmont,1952,10,Mixed Forest,Forest,1841414326,1841.414326,1466990,4,823535.69
ConusBackcasting,Piedmont,1952,16,Woody Wetland,Wetland,230442061.3,230.4420613,1466990,4,823535.69
ConusBackcasting,Piedmont,1952,1,Open Water,Water,107855872.7,107.8558727,1466990,4,823535.69
ConusBackcasting,Piedmont,1952,15,Herbaceous Wetland,Wetland,37824455.34,37.82445534,1466990,4,823535.69
ConusBackcasting,Piedmont,1952,6,Mining,Developed,2122164.161,2.122164161,1466990,4,823535.69
ConusBackcasting,Piedmont,1952,11,Grassland,Hay Pasture,124833.1859,0.124833186,1466990,4,823535.69
ConusBackcasting,Piedmont,1952,12,Shrubland,Hay Pasture,62416.59297,0.062416593,1466990,4,823535.69
ConusBackcasting,Piedmont,1953,13,Cultivated Cropland,Cropland,1664775368,1664.775368,1508325,7,592567.4
ConusBackcasting,Piedmont,1953,14,Hay Pasture,Hay Pasture,2050572329,2050.572329,1508325,7,592567.4
ConusBackcasting,Piedmont,1953,2,Developed,Developed,258841611.1,258.8416111,1508325,7,592567.4
ConusBackcasting,Piedmont,1953,9,Evergreen Forest,Forest,1143971316,1143.971316,1508325,7,592567.4
ConusBackcasting,Piedmont,1953,8,Deciduous Forest,Forest,4559969033,4559.969033,1508325,7,592567.4
ConusBackcasting,Piedmont,1953,10,Mixed Forest,Forest,1870063542,1870.063542,1508325,7,592567.4
ConusBackcasting,Piedmont,1953,1,Open Water,Water,110539786.2,110.5397862,1508325,7,592567.4
ConusBackcasting,Piedmont,1953,16,Woody Wetland,Wetland,225635983.6,225.6359836,1508325,7,592567.4
ConusBackcasting,Piedmont,1953,15,Herbaceous Wetland,Wetland,37699622.16,37.69962216,1508325,7,592567.4
ConusBackcasting,Piedmont,1953,6,Mining,Developed,1997330.975,1.997330975,1508325,7,592567.4
ConusBackcasting,Piedmont,1953,11,Grassland,Hay Pasture,124833.1859,0.124833186,1508325,7,592567.4
ConusBackcasting,Piedmont,1953,12,Shrubland,Hay Pasture,62416.59297,0.062416593,1508325,7,592567.4
ConusBackcasting,Piedmont,1954,13,Cultivated Cropland,Cropland,1566594067,1566.594067,1549659,5,466753.81
ConusBackcasting,Piedmont,1954,14,Hay Pasture,Hay Pasture,2039337342,2039.337342,1549659,5,466753.81
ConusBackcasting,Piedmont,1954,2,Developed,Developed,265582603.1,265.5826031,1549659,5,466753.81
ConusBackcasting,Piedmont,1954,9,Evergreen Forest,Forest,1153833138,1153.833138,1549659,5,466753.81
ConusBackcasting,Piedmont,1954,8,Deciduous Forest,Forest,4628939368,4628.939368,1549659,5,466753.81
ConusBackcasting,Piedmont,1954,10,Mixed Forest,Forest,1895966428,1895.966428,1549659,5,466753.81
ConusBackcasting,Piedmont,1954,1,Open Water,Water,112974033.3,112.9740333,1549659,5,466753.81
ConusBackcasting,Piedmont,1954,16,Woody Wetland,Wetland,221391655.3,221.3916553,1549659,5,466753.81
ConusBackcasting,Piedmont,1954,15,Herbaceous Wetland,Wetland,37449955.78,37.44995578,1549659,5,466753.81
ConusBackcasting,Piedmont,1954,6,Mining,Developed,1997330.975,1.997330975,1549659,5,466753.81
ConusBackcasting,Piedmont,1954,11,Grassland,Hay Pasture,124833.1859,0.124833186,1549659,5,466753.81
ConusBackcasting,Piedmont,1954,12,Shrubland,Hay Pasture,62416.59297,0.062416593,1549659,5,466753.81
ConusBackcasting,Piedmont,1955,13,Cultivated Cropland,Cropland,1461859024,1461.859024,1590994,8,615554.46
ConusBackcasting,Piedmont,1955,14,Hay Pasture,Hay Pasture,2030474186,2030.474186,1590994,8,615554.46
ConusBackcasting,Piedmont,1955,2,Developed,Developed,271886679,271.886679,1590994,8,615554.46
ConusBackcasting,Piedmont,1955,9,Evergreen Forest,Forest,1161073463,1161.073463,1590994,8,615554.46
ConusBackcasting,Piedmont,1955,8,Deciduous Forest,Forest,4702029199,4702.029199,1590994,8,615554.46
ConusBackcasting,Piedmont,1955,10,Mixed Forest,Forest,1924428395,1924.428395,1590994,8,615554.46
ConusBackcasting,Piedmont,1955,1,Open Water,Water,115782780,115.78278,1590994,8,615554.46
ConusBackcasting,Piedmont,1955,16,Woody Wetland,Wetland,217272160.1,217.2721601,1590994,8,615554.46
ConusBackcasting,Piedmont,1955,15,Herbaceous Wetland,Wetland,37325122.6,37.3251226,1590994,8,615554.46
ConusBackcasting,Piedmont,1955,6,Mining,Developed,1934914.382,1.934914382,1590994,8,615554.46
ConusBackcasting,Piedmont,1955,11,Grassland,Hay Pasture,124833.1859,0.124833186,1590994,8,615554.46
ConusBackcasting,Piedmont,1955,12,Shrubland,Hay Pasture,62416.59297,0.062416593,1590994,8,615554.46
ConusBackcasting,Piedmont,1956,13,Cultivated Cropland,Cropland,1350382989,1350.382989,1632329,1,347326.96
ConusBackcasting,Piedmont,1956,14,Hay Pasture,Hay Pasture,2019364032,2019.364032,1632329,1,347326.96
ConusBackcasting,Piedmont,1956,2,Developed,Developed,279751169.7,279.7511697,1632329,1,347326.96
ConusBackcasting,Piedmont,1956,9,Evergreen Forest,Forest,1169250036,1169.250036,1632329,1,347326.96
ConusBackcasting,Piedmont,1956,8,Deciduous Forest,Forest,4779238524,4779.238524,1632329,1,347326.96
ConusBackcasting,Piedmont,1956,10,Mixed Forest,Forest,1955199775,1955.199775,1632329,1,347326.96
ConusBackcasting,Piedmont,1956,1,Open Water,Water,117468028,117.468028,1632329,1,347326.96
ConusBackcasting,Piedmont,1956,16,Woody Wetland,Wetland,213964080.7,213.9640807,1632329,1,347326.96
ConusBackcasting,Piedmont,1956,15,Herbaceous Wetland,Wetland,37325122.6,37.3251226,1632329,1,347326.96
ConusBackcasting,Piedmont,1956,6,Mining,Developed,2122164.161,2.122164161,1632329,1,347326.96
ConusBackcasting,Piedmont,1956,11,Grassland,Hay Pasture,124833.1859,0.124833186,1632329,1,347326.96
ConusBackcasting,Piedmont,1956,12,Shrubland,Hay Pasture,62416.59297,0.062416593,1632329,1,347326.96
ConusBackcasting,Piedmont,1957,13,Cultivated Cropland,Cropland,1280538821,1280.538821,1673663,5,632192.46
ConusBackcasting,Piedmont,1957,14,Hay Pasture,Hay Pasture,2014058622,2014.058622,1673663,5,632192.46
ConusBackcasting,Piedmont,1957,2,Developed,Developed,285493496.3,285.4934963,1673663,5,632192.46
ConusBackcasting,Piedmont,1957,9,Evergreen Forest,Forest,1172932615,1172.932615,1673663,5,632192.46
ConusBackcasting,Piedmont,1957,8,Deciduous Forest,Forest,4827673800,4827.6738,1673663,5,632192.46
ConusBackcasting,Piedmont,1957,10,Mixed Forest,Forest,1973363003,1973.363003,1673663,5,632192.46
ConusBackcasting,Piedmont,1957,1,Open Water,Water,118404276.9,118.4042769,1673663,5,632192.46
ConusBackcasting,Piedmont,1957,15,Herbaceous Wetland,Wetland,37325122.6,37.3251226,1673663,5,632192.46
ConusBackcasting,Piedmont,1957,16,Woody Wetland,Wetland,211966749.7,211.9667497,1673663,5,632192.46
ConusBackcasting,Piedmont,1957,6,Mining,Developed,2309413.94,2.30941394,1673663,5,632192.46
ConusBackcasting,Piedmont,1957,11,Grassland,Hay Pasture,124833.1859,0.124833186,1673663,5,632192.46
ConusBackcasting,Piedmont,1957,12,Shrubland,Hay Pasture,62416.59297,0.062416593,1673663,5,632192.46
ConusBackcasting,Piedmont,1958,13,Cultivated Cropland,Cropland,1212879235,1212.879235,1714998,4,721215.24
ConusBackcasting,Piedmont,1958,14,Hay Pasture,Hay Pasture,2006194131,2006.194131,1714998,4,721215.24
ConusBackcasting,Piedmont,1958,2,Developed,Developed,291048573,291.048573,1714998,4,721215.24
ConusBackcasting,Piedmont,1958,9,Evergreen Forest,Forest,1177176943,1177.176943,1714998,4,721215.24
ConusBackcasting,Piedmont,1958,8,Deciduous Forest,Forest,4875734577,4875.734577,1714998,4,721215.24
ConusBackcasting,Piedmont,1958,10,Mixed Forest,Forest,1991463815,1991.463815,1714998,4,721215.24
ConusBackcasting,Piedmont,1958,1,Open Water,Water,119215692.6,119.2156926,1714998,4,721215.24
ConusBackcasting,Piedmont,1958,15,Herbaceous Wetland,Wetland,37200289.41,37.20028941,1714998,4,721215.24
ConusBackcasting,Piedmont,1958,16,Woody Wetland,Wetland,210718417.9,210.7184179,1714998,4,721215.24
ConusBackcasting,Piedmont,1958,6,Mining,Developed,2434247.126,2.434247126,1714998,4,721215.24
ConusBackcasting,Piedmont,1958,11,Grassland,Hay Pasture,124833.1859,0.124833186,1714998,4,721215.24
ConusBackcasting,Piedmont,1958,12,Shrubland,Hay Pasture,62416.59297,0.062416593,1714998,4,721215.24
ConusBackcasting,Piedmont,1959,2,Developed,Developed,297789565.1,297.7895651,1756332,3,543286.35
ConusBackcasting,Piedmont,1959,14,Hay Pasture,Hay Pasture,2001263221,2001.263221,1756332,3,543286.35
ConusBackcasting,Piedmont,1959,13,Cultivated Cropland,Cropland,1136481325,1136.481325,1756332,3,543286.35
ConusBackcasting,Piedmont,1959,9,Evergreen Forest,Forest,1181920605,1181.920605,1756332,3,543286.35
ConusBackcasting,Piedmont,1959,8,Deciduous Forest,Forest,4927228266,4927.228266,1756332,3,543286.35
ConusBackcasting,Piedmont,1959,10,Mixed Forest,Forest,2011125042,2011.125042,1756332,3,543286.35
ConusBackcasting,Piedmont,1959,1,Open Water,Water,119902275.1,119.9022751,1756332,3,543286.35
ConusBackcasting,Piedmont,1959,15,Herbaceous Wetland,Wetland,37200289.41,37.20028941,1756332,3,543286.35
ConusBackcasting,Piedmont,1959,16,Woody Wetland,Wetland,208471420.5,208.4714205,1756332,3,543286.35
ConusBackcasting,Piedmont,1959,6,Mining,Developed,2683913.498,2.683913498,1756332,3,543286.35
ConusBackcasting,Piedmont,1959,11,Grassland,Hay Pasture,124833.1859,0.124833186,1756332,3,543286.35
ConusBackcasting,Piedmont,1959,12,Shrubland,Hay Pasture,62416.59297,0.062416593,1756332,3,543286.35
ConusBackcasting,Piedmont,1960,2,Developed,Developed,304280890.7,304.2808907,1797667,8,682594.13
ConusBackcasting,Piedmont,1960,14,Hay Pasture,Hay Pasture,1995895394,1995.895394,1797667,8,682594.13
ConusBackcasting,Piedmont,1960,13,Cultivated Cropland,Cropland,1060957247,1060.957247,1797667,8,682594.13
ConusBackcasting,Piedmont,1960,9,Evergreen Forest,Forest,1188911263,1188.911263,1797667,8,682594.13
ConusBackcasting,Piedmont,1960,8,Deciduous Forest,Forest,4977411207,4977.411207,1797667,8,682594.13
ConusBackcasting,Piedmont,1960,10,Mixed Forest,Forest,2029101021,2029.101021,1797667,8,682594.13
ConusBackcasting,Piedmont,1960,1,Open Water,Water,120526441,120.526441,1797667,8,682594.13
ConusBackcasting,Piedmont,1960,15,Herbaceous Wetland,Wetland,37200289.41,37.20028941,1797667,8,682594.13
ConusBackcasting,Piedmont,1960,16,Woody Wetland,Wetland,206848589.1,206.8485891,1797667,8,682594.13
ConusBackcasting,Piedmont,1960,6,Mining,Developed,2933579.87,2.93357987,1797667,8,682594.13
ConusBackcasting,Piedmont,1960,11,Grassland,Hay Pasture,124833.1859,0.124833186,1797667,8,682594.13
ConusBackcasting,Piedmont,1960,12,Shrubland,Hay Pasture,62416.59297,0.062416593,1797667,8,682594.13
ConusBackcasting,Piedmont,1961,2,Developed,Developed,309586301.2,309.5863012,1824748,7,787103.42
ConusBackcasting,Piedmont,1961,14,Hay Pasture,Hay Pasture,1990839650,1990.83965,1824748,7,787103.42
ConusBackcasting,Piedmont,1961,13,Cultivated Cropland,Cropland,984933837.1,984.9338371,1824748,7,787103.42
ConusBackcasting,Piedmont,1961,9,Evergreen Forest,Forest,1194154257,1194.154257,1824748,7,787103.42
ConusBackcasting,Piedmont,1961,8,Deciduous Forest,Forest,5027843814,5027.843814,1824748,7,787103.42
ConusBackcasting,Piedmont,1961,10,Mixed Forest,Forest,2049573663,2049.573663,1824748,7,787103.42
ConusBackcasting,Piedmont,1961,1,Open Water,Water,122024439.3,122.0244393,1824748,7,787103.42
ConusBackcasting,Piedmont,1961,15,Herbaceous Wetland,Wetland,36888206.45,36.88820645,1824748,7,787103.42
ConusBackcasting,Piedmont,1961,16,Woody Wetland,Wetland,205163341.1,205.1633411,1824748,7,787103.42
ConusBackcasting,Piedmont,1961,6,Mining,Developed,3058413.056,3.058413056,1824748,7,787103.42
ConusBackcasting,Piedmont,1961,11,Grassland,Hay Pasture,124833.1859,0.124833186,1824748,7,787103.42
ConusBackcasting,Piedmont,1961,12,Shrubland,Hay Pasture,62416.59297,0.062416593,1824748,7,787103.42
ConusBackcasting,Piedmont,1962,2,Developed,Developed,314392378.8,314.3923788,1851829,2,745603.3
ConusBackcasting,Piedmont,1962,14,Hay Pasture,Hay Pasture,1985034906,1985.034906,1851829,2,745603.3
ConusBackcasting,Piedmont,1962,13,Cultivated Cropland,Cropland,905165431.3,905.1654313,1851829,2,745603.3
ConusBackcasting,Piedmont,1962,9,Evergreen Forest,Forest,1199272417,1199.272417,1851829,2,745603.3
ConusBackcasting,Piedmont,1962,8,Deciduous Forest,Forest,5084642913,5084.642913,1851829,2,745603.3
ConusBackcasting,Piedmont,1962,10,Mixed Forest,Forest,2069297307,2069.297307,1851829,2,745603.3
ConusBackcasting,Piedmont,1962,1,Open Water,Water,122523772,122.523772,1851829,2,745603.3
ConusBackcasting,Piedmont,1962,15,Herbaceous Wetland,Wetland,36888206.45,36.88820645,1851829,2,745603.3
ConusBackcasting,Piedmont,1962,16,Woody Wetland,Wetland,203665342.9,203.6653429,1851829,2,745603.3
ConusBackcasting,Piedmont,1962,6,Mining,Developed,3183246.242,3.183246242,1851829,2,745603.3
ConusBackcasting,Piedmont,1962,11,Grassland,Hay Pasture,124833.1859,0.124833186,1851829,2,745603.3
ConusBackcasting,Piedmont,1962,12,Shrubland,Hay Pasture,62416.59297,0.062416593,1851829,2,745603.3
ConusBackcasting,Piedmont,1963,2,Developed,Developed,321195787.4,321.1957874,1878910,6,446098.62
ConusBackcasting,Piedmont,1963,14,Hay Pasture,Hay Pasture,1970491840,1970.49184,1878910,6,446098.62
ConusBackcasting,Piedmont,1963,13,Cultivated Cropland,Cropland,927136072,927.136072,1878910,6,446098.62
ConusBackcasting,Piedmont,1963,9,Evergreen Forest,Forest,1198773085,1198.773085,1878910,6,446098.62
ConusBackcasting,Piedmont,1963,8,Deciduous Forest,Forest,5071660262,5071.660262,1878910,6,446098.62
ConusBackcasting,Piedmont,1963,10,Mixed Forest,Forest,2068548308,2068.548308,1878910,6,446098.62
ConusBackcasting,Piedmont,1963,1,Open Water,Water,122523772,122.523772,1878910,6,446098.62
ConusBackcasting,Piedmont,1963,15,Herbaceous Wetland,Wetland,36888206.45,36.88820645,1878910,6,446098.62
ConusBackcasting,Piedmont,1963,16,Woody Wetland,Wetland,203665342.9,203.6653429,1878910,6,446098.62
ConusBackcasting,Piedmont,1963,6,Mining,Developed,3183246.242,3.183246242,1878910,6,446098.62
ConusBackcasting,Piedmont,1963,11,Grassland,Hay Pasture,124833.1859,0.124833186,1878910,6,446098.62
ConusBackcasting,Piedmont,1963,12,Shrubland,Hay Pasture,62416.59297,0.062416593,1878910,6,446098.62
